"kode_prov","nama_prov","kode_kabkota","nama_kabkota","kode_kecamatan","nama_kecamatan"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.110","SINDANGWANGI"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.100","RAJAGALUH"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.091","SINDANG"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.090","SUKAHAJI"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.080","CIGASONG"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.070","MAJALENGKA"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.060","MAJA"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.050","ARGAPURA"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.041","BANJARAN"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.040","TALAGA"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.031","CINGAMBUL"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.030","CIKIJING"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.021","MALAUSMA"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.020","BANTARUJEG"
"32","Provinsi Jawa Barat","3210","Kab. Majalengka","3210.010","LEMAHSUGIH"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.221","PATROL"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.220","SUKRA"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.210","ANJATAN"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.200","BONGAS"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.190","KANDANGHAUR"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.180","LOSARANG"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.171","ARAHAN"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.170","LOHBENER"
"32","Provinsi Jawa Barat","3212","Kab. Indramayu","3212.162","PASEKAN"
