kode_prov,nama_prov,kode_kabkota,nama_kabkota,nama_ibukota,pulau,kode_pemda
15,Provinsi Jambi,1502,Kab. Merangin,Bangko,Sumatera,1006
15,Provinsi Jambi,1501,Kab. Kerinci,Siulak,Sumatera,1005
15,Provinsi Jambi,1503,Kab. Sarolangun,Sarolangun,Sumatera,1004
15,Provinsi Jambi,1509,Kab. Bungo,Muara Bungo,Sumatera,1003
15,Provinsi Jambi,1507,Kab. Tanjung Jabung Barat,Kuala Tungkal,Sumatera,1002
15,Provinsi Jambi,1504,Kab. Batanghari,Muara Bulian,Sumatera,1001
15,Provinsi Jambi,1500,Provinsi Jambi, ,Sumatera, 
16,Provinsi Sumatera Selatan,1674,Kota Lubuk Linggau,Lubuklinggau,Sumatera,1155
16,Provinsi Sumatera Selatan,1673,Kota Pagar Alam,Pagaralam,Sumatera,1154
16,Provinsi Sumatera Selatan,1672,Kota Prabumulih,Prabumulih,Sumatera,1153
16,Provinsi Sumatera Selatan,1671,Kota Palembang,Palembang,Sumatera,1151
16,Provinsi Sumatera Selatan,1613,Kab. Musi Rawas Utara,Rupit,Sumatera,1119
16,Provinsi Sumatera Selatan,1612,Kab. Penukal Abab Lematang Ilir,Talang Ubi,Sumatera,1118
16,Provinsi Sumatera Selatan,1611,Kab. Empat Lawang,Tebing Tinggi,Sumatera,1117
16,Provinsi Sumatera Selatan,1610,Kab. Ogan Ilir,Indralaya,Sumatera,1112
16,Provinsi Sumatera Selatan,1608,Kab. Ogan Komering Ulu Selatan,Muara Dua,Sumatera,1111
16,Provinsi Sumatera Selatan,1609,Kab. Ogan Komering Ulu Timur,Martapura,Sumatera,1110
16,Provinsi Sumatera Selatan,1607,Kab. Banyuasin,Pangkalan Balai,Sumatera,1109
16,Provinsi Sumatera Selatan,1602,Kab. Ogan Komering Ilir,Kayuagung,Sumatera,1108
16,Provinsi Sumatera Selatan,1605,Kab. Musi Rawas,Muara Beliti,Sumatera,1107
16,Provinsi Sumatera Selatan,1604,Kab. Lahat,Lahat,Sumatera,1106
16,Provinsi Sumatera Selatan,1603,Kab. Muara Enim,Muara Enim,Sumatera,1105
16,Provinsi Sumatera Selatan,1601,Kab. Ogan Komering Ulu,Baturaja,Sumatera,1104
16,Provinsi Sumatera Selatan,1606,Kab. Musi Banyuasin,Sekayu,Sumatera,1103
16,Provinsi Sumatera Selatan,1600,Provinsi Sumatera Selatan, ,Sumatera, 
18,Provinsi Lampung,1872,Kota Metro,Metro,Sumatera,1252
18,Provinsi Lampung,1871,Kota Bandar Lampung,Bandar Lampung,Sumatera,1251
18,Provinsi Lampung,1813,Kab. Pesisir Barat,Krui,Sumatera,1213
18,Provinsi Lampung,1812,Kab. Tulang Bawang Barat,Panaragan Jaya,Sumatera,1212
18,Provinsi Lampung,1811,Kab. Mesuji,Mesuji,Sumatera,1211
18,Provinsi Lampung,1810,Kab. Pringsewu,Pringsewu,Sumatera,1210
18,Provinsi Lampung,1809,Kab. Pesawaran,Gedong Tataan,Sumatera,1209
18,Provinsi Lampung,1807,Kab. Way Kanan,Blambangan Umpu,Sumatera,1208
18,Provinsi Lampung,1804,Kab. Lampung Timur,Sukadana,Sumatera,1207
18,Provinsi Lampung,1802,Kab. Tanggamus,Kota Agung,Sumatera,1206
18,Provinsi Lampung,1808,Kab. Tulang Bawang,Menggala,Sumatera,1205
18,Provinsi Lampung,1801,Kab. Lampung Barat,Liwa,Sumatera,1204
18,Provinsi Lampung,1806,Kab. Lampung Utara,Kotabumi,Sumatera,1203
18,Provinsi Lampung,1805,Kab. Lampung Tengah,Gunung Sugih,Sumatera,1202
18,Provinsi Lampung,1803,Kab. Lampung Selatan,Kalianda,Sumatera,1201
18,Provinsi Lampung,1800,Provinsi Lampung, ,Sumatera, 
61,Provinsi Kalimantan Barat,6172,Kota Singkawang,Singkawang,Kalimantan,1352
61,Provinsi Kalimantan Barat,6171,Kota Pontianak,Pontianak,Kalimantan,1351
61,Provinsi Kalimantan Barat,6112,Kab. Kubu Raya,Sungai Raya,Kalimantan,1312
61,Provinsi Kalimantan Barat,6111,Kab. Kayong Utara,Sukadana,Kalimantan,1311
61,Provinsi Kalimantan Barat,6109,Kab. Sekadau,Sekadau,Kalimantan,1310
61,Provinsi Kalimantan Barat,6110,Kab. Melawi,Nanga Pinoh,Kalimantan,1309
61,Provinsi Kalimantan Barat,6103,Kab. Landak,Ngabang,Kalimantan,1308
61,Provinsi Kalimantan Barat,6102,Kab. Bengkayang,Bengkayang,Kalimantan,1307
61,Provinsi Kalimantan Barat,6106,Kab. Ketapang,Ketapang,Kalimantan,1306
61,Provinsi Kalimantan Barat,6108,Kab. Kapuas Hulu,Putussibau,Kalimantan,1305
61,Provinsi Kalimantan Barat,6104,Kab. Mempawah,Mempawah,Kalimantan,1304
61,Provinsi Kalimantan Barat,6107,Kab. Sintang,Sintang,Kalimantan,1303
61,Provinsi Kalimantan Barat,6105,Kab. Sanggau,Sanggau,Kalimantan,1302
61,Provinsi Kalimantan Barat,6101,Kab. Sambas,Sambas,Kalimantan,1301
61,Provinsi Kalimantan Barat,6100,Provinsi Kalimantan Barat, ,Kalimantan, 
62,Provinsi Kalimantan Tengah,6271,Kota Palangkaraya,Palangkaraya,Kalimantan,1451
62,Provinsi Kalimantan Tengah,6212,Kab. Barito Timur,Tamiang Layang,Kalimantan,1413
62,Provinsi Kalimantan Tengah,6213,Kab. Murung Raya,Purukcahu,Kalimantan,1412
62,Provinsi Kalimantan Tengah,6210,Kab. Pulang Pisau,Pulang Pisau,Kalimantan,1411
62,Provinsi Kalimantan Tengah,6211,Kab. Gunung Mas,Kuala Kurun,Kalimantan,1410
62,Provinsi Kalimantan Tengah,6207,Kab. Lamandau,Nanga Bulik,Kalimantan,1409
62,Provinsi Kalimantan Tengah,6206,Kab. Sukamara,Sukamara,Kalimantan,1408
62,Provinsi Kalimantan Tengah,6208,Kab. Seruyan,Kuala Pembuang,Kalimantan,1407
62,Provinsi Kalimantan Tengah,6209,Kab. Katingan,Kasongan,Kalimantan,1406
62,Provinsi Kalimantan Tengah,6201,Kab. Kotawaringin Barat,Pangkalan Bun,Kalimantan,1405
62,Provinsi Kalimantan Tengah,6202,Kab. Kotawaringin Timur,Sampit,Kalimantan,1404
62,Provinsi Kalimantan Tengah,6204,Kab. Barito Selatan,Buntok,Kalimantan,1403
62,Provinsi Kalimantan Tengah,6205,Kab. Barito Utara,Muara Teweh,Kalimantan,1402
62,Provinsi Kalimantan Tengah,6203,Kab. Kapuas,Kuala Kapuas,Kalimantan,1401
62,Provinsi Kalimantan Tengah,6200,Provinsi Kalimantan Tengah, ,Kalimantan, 
63,Provinsi Kalimantan Selatan,6372,Kota Banjarbaru,Banjarbaru,Kalimantan,1552
63,Provinsi Kalimantan Selatan,6371,Kota Banjarmasin,Banjarmasin,Kalimantan,1551
63,Provinsi Kalimantan Selatan,6311,Kab. Balangan,Paringin,Kalimantan,1511
63,Provinsi Kalimantan Selatan,6310,Kab. Tanah Bumbu,Batulicin,Kalimantan,1510
63,Provinsi Kalimantan Selatan,6308,Kab. Hulu Sungai Utara,Amuntai,Kalimantan,1509
63,Provinsi Kalimantan Selatan,6302,Kab. Kotabaru,Kotabaru,Kalimantan,1508
63,Provinsi Kalimantan Selatan,6309,Kab. Tabalong,Tanjung,Kalimantan,1507
63,Provinsi Kalimantan Selatan,6304,Kab. Barito Kuala,Marabahan,Kalimantan,1506
63,Provinsi Kalimantan Selatan,6307,Kab. Hulu Sungai Tengah,Barabai,Kalimantan,1505
63,Provinsi Kalimantan Selatan,6306,Kab. Hulu Sungai Selatan,Kandangan,Kalimantan,1504
63,Provinsi Kalimantan Selatan,6305,Kab. Tapin,Rantau,Kalimantan,1503
63,Provinsi Kalimantan Selatan,6301,Kab. Tanah Laut,Pelaihari,Kalimantan,1502
63,Provinsi Kalimantan Selatan,6303,Kab. Banjar,Martapura,Kalimantan,1501
63,Provinsi Kalimantan Selatan,6300,Provinsi Kalimantan Selatan, ,Kalimantan, 
64,Provinsi Kalimantan Timur,6474,Kota Bontang,Bontang,Kalimantan,1654
64,Provinsi Kalimantan Timur,6471,Kota Balikpapan,Balikpapan,Kalimantan,1652
64,Provinsi Kalimantan Timur,6472,Kota Samarinda,Samarinda,Kalimantan,1651
64,Provinsi Kalimantan Timur,6411,Kab. Mahakam Ulu,Long Bagun,Kalimantan,1613
64,Provinsi Kalimantan Timur,6403,Kab. Kutai Kartanegara,Tenggarong,Kalimantan,1610
64,Provinsi Kalimantan Timur,6409,Kab. Penajam Paser Utara,Penajam,Kalimantan,1609
64,Provinsi Kalimantan Timur,6404,Kab. Kutai Timur,Sanggatta,Kalimantan,1608
64,Provinsi Kalimantan Timur,6402,Kab. Kutai Barat,Sendawar,Kalimantan,1607
64,Provinsi Kalimantan Timur,6405,Kab. Berau,Tanjung Redeb,Kalimantan,1604
64,Provinsi Kalimantan Timur,6401,Kab. Paser,Tana Paser,Kalimantan,1602
64,Provinsi Kalimantan Timur,6400,Provinsi Kalimantan Timur, ,Kalimantan, 
71,Provinsi Sulawesi Utara,7174,Kota Kotamobagu,Kotamobagu,Sulawesi,1754
71,Provinsi Sulawesi Utara,7172,Kota Bitung,Bitung,Sulawesi,1753
