"kode_prov","nama_prov","kode_kabkota","nama_kabkota"
"14","Provinsi Riau","1409","Kab. Rokan Hilir"
"14","Provinsi Riau","1408","Kab. Bengkalis"
"14","Provinsi Riau","1401","Kab. Kuantan Singingi"
"14","Provinsi Riau","1403","Kab. Indragiri Hilir"
"14","Provinsi Riau","1471","Kota Pekanbaru"
"14","Provinsi Riau","1407","Kab. Rokan Hulu"
"14","Provinsi Riau","1406","Kab. Kampar"
"14","Provinsi Riau","1405","Kab. Siak"
"14","Provinsi Riau","1402","Kab. Indragiri Hulu"
"14","Provinsi Riau","1410","Kab. Kepulauan Meranti"
"14","Provinsi Riau","1404","Kab. Pelalawan"
"14","Provinsi Riau","1473","Kota Dumai"
"15","Provinsi Jambi","1506","Kab. Tanjung Jabung Timur"
"15","Provinsi Jambi","1507","Kab. Tanjung Jabung Barat"
"15","Provinsi Jambi","1505","Kab. Muaro Jambi"
"15","Provinsi Jambi","1503","Kab. Sarolangun"
"15","Provinsi Jambi","1502","Kab. Merangin"
"15","Provinsi Jambi","1504","Kab. Batanghari"
"15","Provinsi Jambi","1572","Kota Sungai Penuh"
"15","Provinsi Jambi","1508","Kab. Tebo"
"15","Provinsi Jambi","1509","Kab. Bungo"
"15","Provinsi Jambi","1571","Kota Jambi"
"15","Provinsi Jambi","1501","Kab. Kerinci"
"16","Provinsi Sumatera Selatan","1671","Kota Palembang"
"16","Provinsi Sumatera Selatan","1608","Kab. Ogan Komering Ulu Selatan"
"16","Provinsi Sumatera Selatan","1604","Kab. Lahat"
"16","Provinsi Sumatera Selatan","1673","Kota Pagar Alam"
"16","Provinsi Sumatera Selatan","1611","Kab. Empat Lawang"
"16","Provinsi Sumatera Selatan","1602","Kab. Ogan Komering Ilir"
"16","Provinsi Sumatera Selatan","1606","Kab. Musi Banyuasin"
"16","Provinsi Sumatera Selatan","1613","Kab. Musi Rawas Utara"
"16","Provinsi Sumatera Selatan","1609","Kab. Ogan Komering Ulu Timur"
"16","Provinsi Sumatera Selatan","1603","Kab. Muara Enim"
"16","Provinsi Sumatera Selatan","1672","Kota Prabumulih"
"16","Provinsi Sumatera Selatan","1610","Kab. Ogan Ilir"
"16","Provinsi Sumatera Selatan","1605","Kab. Musi Rawas"
"16","Provinsi Sumatera Selatan","1674","Kota Lubuk Linggau"
"16","Provinsi Sumatera Selatan","1612","Kab. Penukal Abab Lematang Ilir"
"16","Provinsi Sumatera Selatan","1607","Kab. Banyuasin"
"16","Provinsi Sumatera Selatan","1601","Kab. Ogan Komering Ulu"
"18","Provinsi Lampung","1871","Kota Bandar Lampung"
"18","Provinsi Lampung","1809","Kab. Pesawaran"
"18","Provinsi Lampung","1801","Kab. Lampung Barat"
"18","Provinsi Lampung","1811","Kab. Mesuji"
"18","Provinsi Lampung","1802","Kab. Tanggamus"
"18","Provinsi Lampung","1803","Kab. Lampung Selatan"
"18","Provinsi Lampung","1813","Kab. Pesisir Barat"
"18","Provinsi Lampung","1807","Kab. Way Kanan"
